wall_time,step,mean_ep_length
1723683400,127,5.291666508
1723683402,179,2.355263233
1723683403,203,2.029999971
1723683405,267,1
1723683406,275,1
1723683406,287,1
1723683407,319,1
1723683408,331,1
1723683410,391,1
1723683411,403,1
1723683413,483,1
1723683415,515,1
1723683415,531,1
1723683418,611,1
1723683420,663,1
1723683423,727,1
1723683423,739,1
1723683425,775,1
1723683426,819,1
1723683427,839,1
1723683428,847,1
1723683428,851,1
1723683428,867,1
1723683431,935,1
1723683433,999,1
1723683434,1023,1
1723683435,1043,1
1723683437,1103,1
1723683438,1127,1
1723683439,1147,1
1723683440,1175,1
1723683441,1191,1
1723683441,1199,1
1723683444,1275,1
1723683446,1339,1
1723683447,1347,1
1723683448,1379,1
1723683450,1427,1
1723683451,1463,1
1723683452,1495,1
1723683455,1559,1
1723683455,1575,1
1723683463,1792,1
1723683464,1796,1
1723683466,1864,1
1723683467,1872,1
1723683467,1876,1
1723683467,1888,1
1723683470,1948,1
1723683470,1960,1
1723683470,1964,1
1723683472,2004,1
1723683474,2072,1
1723683475,2080,1
1723683478,2164,1
1723683478,2176,1
1723683480,2208,1
1723683481,2232,1
1723683481,2240,1
1723683481,2252,1
1723683482,2276,1
1723683483,2296,1
1723683485,2336,1
1723683486,2360,1
1723683487,2400,1
1723683488,2424,1
1723683488,2432,1
1723683489,2452,1
1723683489,2456,1
1723683492,2516,1
1723683495,2588,1
1723683495,2596,1
1723683497,2644,1
1723683498,2672,1
1723683498,2676,1
1723683498,2684,1
1723683499,2696,1
1723683499,2704,1
1723683501,2752,1
1723683502,2792,1
1723683503,2804,1
1723683504,2840,1
1723683505,2860,1
1723683509,2964,1
1723683510,2980,1
1723683510,2996,1
1723683510,3000,1
1723683511,3028,1
1723683513,3064,1
1723683513,3080,1
1723683514,3096,1
1723683515,3116,1
1723683516,3132,1
1723683517,3168,1
1723683518,3184,1
1723683518,3188,1
1723683518,3192,1
1723683518,3200,1
1723683519,3228,1
1723683520,3248,1
1723683520,3256,1
1723683521,3276,1
1723683521,3284,1
1723683522,3300,1
1723683522,3316,1
1723683523,3340,1
1723683524,3344,1
1723683527,3436,1
1723683528,3452,1
1723683533,3584,1
1723683533,3604,1
1723683534,3612,1
1723683535,3636,1
1723683536,3668,1
1723683537,3692,1
1723683537,3708,1
1723683538,3736,1
1723683539,3744,1
1723683540,3768,1
1723683540,3776,1
1723683542,3832,1
1723683542,3836,1
1723683544,3876,1
1723683544,3888,1
1723683545,3924,1
1723683546,3940,1
1723683547,3956,1
1723683548,3992,1
1723683548,3996,1
1723683549,4020,1
1723683549,4024,1
1723683550,4044,1
1723683552,4092,1
1723683553,4116,1
1723683553,4128,1
1723683554,4164,1
1723683555,4176,1
1723683556,4208,1
1723683559,4284,1
1723683561,4336,1
1723683562,4360,1
1723683562,4372,1
1723683563,4380,1
1723683563,4396,1
1723683564,4420,1
1723683565,4440,1
1723683566,4480,1
1723683567,4504,1
1723683568,4520,1
1723683568,4524,1
1723683570,4564,1
1723683570,4584,1
1723683576,4732,1
1723683576,4748,1
1723683577,4752,1
1723683577,4756,1
1723683579,4828,1
1723683581,4876,1
1723683581,4880,1
1723683582,4904,1
1723683583,4932,1
1723683587,5036,1
1723683588,5044,1
1723683589,5084,1
1723683591,5128,1
1723683591,5140,1
1723683592,5152,1
1723683595,5232,1
1723683595,5256,1
1723683597,5284,1
1723683597,5308,1
1723683599,5348,1
1723683600,5372,1
1723683600,5384,1
1723683602,5428,1
1723683602,5440,1
1723683603,5452,1
1723683603,5456,1
1723683610,5648,1
1723683611,5660,1
1723683611,5672,1
1723683612,5676,1
1723683615,5764,1
1723683617,5812,1
1723683617,5820,1
1723683618,5836,1
1723683618,5852,1
1723683619,5868,1
1723683623,5968,1
1723683623,5972,1
1723683624,6016,1
1723683626,6048,1
1723683626,6064,1
1723683627,6072,1
1723683628,6112,1
1723683629,6140,1
1723683631,6200,1
1723683632,6216,1
1723683636,6312,1
1723683636,6316,1
1723683638,6380,1
1723683638,6384,1
1723683640,6420,1
1723683641,6444,1
1723683641,6460,1
1723683643,6496,1
1723683644,6524,1
1723683644,6528,1
1723683646,6580,1
1723683648,6616,1
1723683649,6636,1
1723683649,6656,1
1723683650,6668,1
1723683650,6688,1
1723683651,6700,1
1723683653,6748,1
1723683654,6780,1
1723683655,6808,1
1723683656,6836,1
1723683657,6872,1
1723683658,6888,1
1723683658,6892,1
1723683658,6896,1
1723683659,6904,1
1723683659,6916,1
1723683660,6944,1
1723683662,6980,1
1723683663,7020,1
1723683664,7036,1
1723683664,7044,1
1723683664,7056,1
1723683665,7076,1
1723683666,7088,1
1723683666,7092,1
1723683666,7096,1
1723683669,7172,1
1723683670,7208,1
1723683671,7232,1
1723683672,7260,1
1723683672,7264,1
1723683674,7300,1
1723683675,7328,1
1723683677,7376,1
1723683678,7412,1
1723683679,7428,1
1723683680,7468,1
1723683681,7484,1
1723683682,7504,1
1723683683,7520,1
1723683684,7572,1
1723683685,7584,1
1723683686,7608,1
1723683686,7616,1
1723683691,7752,1
1723683692,7776,1
1723683695,7844,1
1723683695,7852,1
1723683696,7860,1
1723683696,7884,1
1723683697,7896,1
1723683697,7904,1
1723683700,7976,1
1723683702,8032,1
1723683702,8040,1
1723683705,8112,1
1723683706,8128,1
1723683707,8160,1
1723683708,8176,1
1723683709,8216,1
1723683710,8228,1
1723683710,8252,1
1723683714,8348,1
1723683716,8396,1
1723683716,8400,1
1723683717,8412,1
1723683717,8416,1
1723683717,8424,1
1723683717,8432,1
1723683718,8448,1
1723683719,8464,1
1723683719,8484,1
1723683720,8492,1
1723683722,8552,1
1723683727,8688,1
1723683728,8704,1
1723683728,8712,1
1723683729,8732,1
1723683730,8768,1
1723683732,8800,1
1723683732,8816,1
1723683734,8856,1
1723683734,8864,1
1723683735,8872,1
1723683735,8876,1
1723683735,8892,1
1723683736,8904,1
1723683737,8936,1
1723683738,8952,1
1723683740,9008,1
1723683741,9032,1
1723683742,9052,1
1723683742,9056,1
1723683742,9064,1
1723683743,9076,1
1723683743,9084,1
1723683743,9092,1
1723683743,9096,1
1723683744,9124,1
1723683745,9136,1
1723683746,9156,1
1723683749,9232,1
1723683750,9272,1
1723683751,9296,1
1723683752,9320,1
1723683753,9336,1
1723683753,9340,1
1723683754,9384,1
1723683754,9388,1
1723683757,9448,1
1723683758,9488,1
1723683760,9524,1
1723683762,9592,1
1723683765,9664,1
1723683765,9668,1
1723683766,9676,1
1723683767,9716,1
1723683768,9732,1
1723683771,9808,1
1723683773,9852,1
1723683774,9884,1
1723683775,9908,1
1723683775,9912,1
1723683775,9920,1
1723683775,9928,1
1723683776,9948,1
1723683780,10048,1
1723683780,10052,1
1723683782,10092,1
1723683782,10100,1
1723683783,10120,1
1723683785,10176,1
1723683786,10200,1
1723683787,10228,1
1723683787,10236,1
1723683787,10244,1
1723683789,10296,1
1723683790,10312,1
1723683790,10320,1
1723683792,10372,1
1723683794,10420,1
1723683796,10468,1
1723683796,10472,1
1723683796,10476,1
1723683797,10508,1
1723683798,10532,1
1723683801,10600,1
1723683802,10624,1
1723683802,10628,1
1723683803,10660,1
1723683804,10684,1
1723683805,10708,1
1723683806,10728,1
1723683809,10820,1
1723683810,10828,1
1723683810,10848,1
1723683811,10868,1
1723683813,10920,1
1723683814,10948,1
1723683817,11008,1
1723683818,11056,1
1723683819,11068,1
1723683821,11124,1
1723683821,11128,1
1723683822,11136,1
1723683826,11264,1
1723683826,11268,1
1723683827,11272,1
1723683828,11300,1
1723683829,11344,1
1723683832,11404,1
1723683832,11416,1
1723683833,11424,1
1723683833,11428,1
1723683837,11544,1
1723683839,11592,1
1723683839,11596,1
1723683841,11632,1
1723683842,11668,1
1723683843,11692,1
1723683843,11708,1
1723683846,11776,1
1723683846,11784,1
1723683847,11788,1
1723683847,11792,1
1723683848,11836,1
1723683851,11908,1
1723683854,11976,1
1723683855,12004,1
1723683855,12008,1
1723683859,12100,1
1723683859,12120,1
1723683860,12128,1
1723683860,12136,1
1723683860,12144,1
1723683861,12152,1
1723683861,12168,1
1723683861,12172,1
1723683863,12216,1
1723683863,12228,1
1723683865,12260,1
1723683865,12272,1
1723683866,12308,1
1723683869,12368,1
1723683869,12384,1
1723683870,12392,1
1723683872,12452,1
1723683874,12504,1
1723683877,12596,1
1723683880,12656,1
1723683880,12660,1
1723683881,12688,1
1723683882,12708,1
1723683882,12728,1
1723683883,12744,1
1723683883,12752,1
1723683886,12816,1
1723683888,12860,1
1723683889,12888,1
1723683889,12892,1
1723683890,12920,1
1723683890,12932,1
1723683894,13028,1
1723683895,13040,1
1723683896,13068,1
1723683896,13080,1
1723683896,13084,1
1723683897,13092,1
1723683897,13096,1
1723683900,13176,1
1723683900,13196,1
1723683902,13232,1
1723683902,13240,1
1723683903,13248,1
1723683906,13328,1
1723683907,13360,1
1723683909,13416,1
1723683909,13420,1
1723683910,13440,1
1723683911,13460,1
1723683912,13488,1
1723683916,13604,1
1723683917,13612,1
1723683917,13620,1
1723683918,13652,1
1723683921,13720,1
1723683922,13740,1
1723683925,13828,1
1723683925,13840,1
1723683926,13860,1
1723683927,13888,1
1723683928,13904,1
1723683928,13912,1
1723683929,13936,1
1723683929,13940,1
1723683930,13964,1
1723683931,13992,1
1723683932,14016,1
1723683933,14028,1
1723683935,14096,1
1723683935,14104,1
1723683937,14144,1
1723683937,14156,1
1723683938,14164,1
1723683939,14184,1
1723683941,14248,1
1723683941,14256,1
1723683942,14280,1
1723683943,14296,1
1723683943,14304,1
1723683945,14360,1
1723683948,14428,1
1723683950,14476,1
1723683951,14504,1
1723683951,14508,1
1723683954,14580,1
1723683954,14588,1
1723683954,14596,1
1723683955,14608,1
1723683955,14620,1
1723683958,14688,1
1723683960,14732,1
1723683960,14736,1
1723683961,14760,1
1723683962,14788,1
1723683967,14908,1
1723683967,14916,1
1723683971,15012,1
1723683971,15028,1
1723683971,15032,1
1723683972,15036,1
1723683972,15060,1
1723683973,15072,1
1723683973,15080,1
1723683975,15116,1
1723683976,15144,1
1723683978,15196,1
1723683979,15228,1
1723683981,15280,1
1723683981,15288,1
1723683982,15300,1
1723683984,15348,1
1723683984,15364,1
1723683985,15384,1
1723683985,15392,1
1723683987,15432,1
1723683987,15440,1
1723683987,15448,1
1723683989,15500,1
1723683992,15564,1
1723683992,15584,1
1723683994,15612,1
1723683997,15712,1
1723683998,15716,1
1723683998,15720,1
1723683999,15748,1
1723684000,15788,1
1723684002,15820,1
1723684003,15848,1
