wall_time,step,mean_reward
1723683400,127,-135.0189514
1723683402,179,-33.31192017
1723683403,203,-22.04503822
1723683405,267,13.62701225
1723683406,275,13.62663746
1723683406,287,13.6266613
1723683407,319,13.62605953
1723683408,331,13.62623501
1723683410,391,13.62593746
1723683411,403,13.62638378
1723683413,483,13.62922001
1723683415,515,13.62762356
1723683415,531,13.628335
1723683418,611,13.62872887
1723683420,663,13.62670231
1723683423,727,13.62843323
1723683423,739,13.62988472
1723683425,775,13.63097858
1723683426,819,13.62607956
1723683427,839,13.62485409
1723683428,847,13.62439919
1723683428,851,13.62441254
1723683428,867,13.62368393
1723683431,935,13.62982082
1723683433,999,13.62864494
1723683434,1023,13.62772942
1723683435,1043,13.62707424
1723683437,1103,13.62495232
1723683438,1127,13.62695694
1723683439,1147,13.62821007
1723683440,1175,13.62685013
1723683441,1191,13.62657356
1723683441,1199,13.62624645
1723683444,1275,13.62433338
1723683446,1339,13.62583923
1723683447,1347,13.62633991
1723683448,1379,13.62523556
1723683450,1427,13.62478256
1723683451,1463,13.62244225
1723683452,1495,13.62392139
1723683455,1559,13.62967014
1723683455,1575,13.63087559
1723683463,1792,13.46728134
1723683464,1796,13.4657135
1723683466,1864,13.45871925
1723683467,1872,13.4578371
1723683467,1876,13.45981503
1723683467,1888,13.45994568
1723683470,1948,13.46717072
1723683470,1960,13.46898746
1723683470,1964,13.46953678
1723683472,2004,13.47143173
1723683474,2072,13.46610928
1723683475,2080,13.46925831
1723683478,2164,13.47468948
1723683478,2176,13.477355
1723683480,2208,13.48665905
1723683481,2232,13.48792458
1723683481,2240,13.49016476
1723683481,2252,13.48600006
1723683482,2276,13.49785805
1723683483,2296,13.50580025
1723683485,2336,13.51641273
1723683486,2360,13.51892471
1723683487,2400,13.51065445
1723683488,2424,13.50829124
1723683488,2432,13.51081944
1723683489,2452,13.52145195
1723683489,2456,13.52903938
1723683492,2516,13.57331657
1723683495,2588,13.59713459
1723683495,2596,13.59664345
1723683497,2644,13.60004807
1723683498,2672,13.60115147
1723683498,2676,13.60272026
1723683498,2684,13.60225296
1723683499,2696,13.60129261
1723683499,2704,13.60262108
1723683501,2752,13.60472679
1723683502,2792,13.60248375
1723683503,2804,13.60330391
1723683504,2840,13.59526157
1723683505,2860,13.59823704
1723683509,2964,13.5973711
1723683510,2980,13.60089302
1723683510,2996,13.60473442
1723683510,3000,13.60464001
1723683511,3028,13.60500145
1723683513,3064,13.6089735
1723683513,3080,13.60638237
1723683514,3096,13.60534477
1723683515,3116,13.61151028
1723683516,3132,13.61487389
1723683517,3168,13.61544228
