wall_time,step,mean_reward
1723616743,2048,-205.0807037
1723617328,4096,-108.7657547
1723617783,6144,-64.31404877
1723618120,8192,-14.27771664
1723618335,10240,1.11004138
1723618513,12288,6.271831512
1723618649,14336,7.452134609
1723618763,16384,10.23469162
1723618865,18432,12.07749081
1723618949,20480,12.80755329
1723619021,22528,12.75722313
1723619088,24576,13.12839985
1723619151,26624,13.29844856
1723619215,28672,13.34540653
1723619276,30720,13.35346794
1723619338,32768,13.38831711
1723619399,34816,13.39247227
1723619460,36864,13.4098835
1723619523,38912,13.4118433
1723619584,40960,13.41295338
1723619647,43008,13.40896034
1723619709,45056,13.40890121
1723619771,47104,13.41278458
1723619832,49152,13.41484928
1723619894,51200,13.40761948
1723619956,53248,13.40956688
1723620018,55296,13.41514874
1723620079,57344,13.41457939
1723620140,59392,13.4111042
1723620200,61440,13.41289902
