wall_time,step,mean_reward
1723621006,122,-126.8740082
1723621008,174,-25.57507896
1723621009,198,-15.82850838
1723621011,262,13.41354179
1723621012,270,13.41336155
1723621012,282,13.4128952
1723621013,314,13.41149044
1723621014,326,13.41312885
1723621016,386,13.41332436
1723621016,398,13.41185284
1723621020,478,13.41068554
1723621021,510,13.41166019
1723621021,526,13.41335583
1723621024,606,13.41583347
1723621027,658,13.41439629
1723621029,722,13.41269398
1723621029,734,13.41191006
1723621031,770,13.41186905
1723621032,814,13.41117096
1723621033,834,13.41219807
1723621033,842,13.41269207
1723621034,846,13.41286278
1723621034,862,13.41260624
1723621037,930,13.41313839
1723621039,994,13.41150284
1723621040,1018,13.41182804
1723621041,1038,13.41221714
1723621043,1098,13.41390705
1723621044,1122,13.41220665
1723621045,1142,13.41368389
1723621046,1170,13.41368008
1723621046,1186,13.41269016
1723621047,1194,13.4136734
1723621049,1270,13.41098118
1723621052,1334,13.413064
1723621052,1342,13.41396713
1723621053,1374,13.41439915
1723621055,1422,13.41368675
1723621057,1458,13.41364574
1723621058,1490,13.41357136
1723621060,1554,13.41147137
1723621061,1570,13.41051865
1723621069,1786,13.41273403
1723621069,1790,13.41308212
1723621071,1858,13.41327572
1723621072,1866,13.41411781
1723621072,1870,13.41516972
1723621072,1882,13.41530132
1723621074,1942,13.41599751
1723621075,1954,13.41674423
1723621075,1958,13.41664505
1723621077,1998,13.41331959
1723621079,2066,13.41247082
1723621079,2074,13.41230774
1723621082,2158,13.40977955
1723621083,2170,13.40981007
1723621084,2202,13.41096973
1723621085,2226,13.40997982
1723621085,2234,13.4106741
1723621086,2246,13.41216278
1723621087,2270,13.41275597
1723621087,2290,13.41232395
1723621089,2330,13.41328716
1723621090,2354,13.41359615
1723621091,2394,13.41469193
1723621092,2418,13.41643333
1723621092,2426,13.41615772
1723621093,2446,13.41508961
1723621093,2450,13.41401005
1723621096,2510,13.41451073
1723621098,2582,13.41409111
1723621099,2590,13.41385365
1723621101,2638,13.41132069
1723621102,2666,13.41196156
1723621102,2670,13.41212654
1723621102,2678,13.41246891
1723621103,2690,13.41248894
1723621103,2698,13.41312504
1723621105,2746,13.41132545
1723621106,2786,13.41138744
1723621106,2798,13.41060638
1723621108,2834,13.41100121
1723621109,2854,13.41246891
1723621113,2958,13.41193581
1723621113,2974,13.40990925
1723621114,2990,13.40944576
1723621114,2994,13.40974426
1723621115,3022,13.40995884
1723621116,3058,13.41276741
1723621117,3074,13.41423225
1723621118,3090,13.41465855
1723621118,3110,13.41533756
1723621119,3126,13.41543388
1723621120,3162,13.41291237
1723621121,3178,13.41230774
1723621121,3182,13.41247654
1723621121,3186,13.41273689
1723621122,3194,13.4137516
1723621123,3222,13.41378403
1723621123,3242,13.41364098
1723621124,3250,13.41403294
1723621124,3270,13.41578388
1723621125,3278,13.41625023
1723621125,3294,13.41509151
1723621126,3310,13.41539097
1723621127,3334,13.41651154
1723621127,3338,13.41549778
1723621131,3430,13.41300392
1723621131,3446,13.4128046
1723621136,3578,13.41260242
1723621137,3598,13.41240883
1723621137,3606,13.41258717
1723621138,3630,13.41241932
1723621139,3662,13.41483974
1723621140,3686,13.41522503
1723621141,3702,13.41435242
1723621142,3730,13.41563892
1723621142,3738,13.41488266
1723621143,3762,13.41267395
1723621143,3770,13.41257668
1723621145,3826,13.41194725
1723621146,3830,13.41177177
1723621147,3870,13.41344929
1723621148,3882,13.4130106
1723621149,3918,13.41146851
1723621150,3934,13.41119766
1723621150,3950,13.41189289
1723621152,3986,13.41227436
1723621152,3990,13.41263008
1723621153,4014,13.4130125
1723621153,4018,13.41368675
1723621154,4038,13.41330338
1723621155,4086,13.41124535
1723621156,4110,13.41152763
1723621157,4122,13.41185188
1723621158,4158,13.41155243
1723621159,4170,13.41301632
1723621160,4202,13.41393948
1723621163,4278,13.41670704
1723621165,4330,13.41392136
1723621166,4354,13.41119099
1723621166,4366,13.41188145
1723621166,4374,13.41134357
1723621167,4390,13.41179371
1723621168,4414,13.41216278
1723621169,4434,13.41256142
1723621170,4474,13.41317844
1723621171,4498,13.41274357
1723621172,4514,13.41237736
1723621172,4518,13.41172314
1723621173,4558,13.41286087
1723621174,4578,13.412323
1723621180,4726,13.41368961
1723621180,4742,13.41525555
1723621180,4746,13.41627312
1723621181,4750,13.4163208
1723621183,4822,13.41475201
1723621185,4870,13.41450024
1723621185,4874,13.41443443
1723621186,4898,13.4138689
1723621187,4926,13.4144001
1723621191,5030,13.4144907
1723621192,5038,13.41448116
1723621193,5078,13.41179848
1723621195,5122,13.41206264
1723621195,5134,13.4124279
1723621195,5146,13.4126215
1723621198,5226,13.41139889
1723621199,5250,13.4118948
1723621200,5278,13.41346264
1723621201,5302,13.41192627
1723621203,5342,13.41182518
1723621204,5366,13.41176033
1723621204,5378,13.41146088
1723621206,5422,13.40936756
1723621206,5434,13.41004467
1723621207,5446,13.40961647
1723621207,5450,13.41021347
1723621214,5642,13.41528702
1723621214,5654,13.41448021
1723621215,5666,13.41360188
1723621215,5670,13.41401768
1723621218,5758,13.41232491
1723621220,5806,13.41200733
1723621220,5814,13.41156101
1723621221,5830,13.41231537
1723621221,5846,13.41376019
1723621222,5862,13.4137249
1723621226,5962,13.40966797
1723621226,5966,13.41003799
1723621227,6010,13.41372967
1723621229,6042,13.4151926
1723621229,6058,13.41580296
1723621230,6066,13.41541481
1723621231,6106,13.41433239
1723621232,6134,13.41374302
1723621234,6194,13.41465378
1723621235,6210,13.41366482
